# age N_data S_data
22000.000000 7.141162 -5.294543
21989.999771 7.278097 -5.274084
21979.999542 7.224194 -5.317593
21969.999313 7.384997 -5.299592
21959.999084 7.282170 -5.161757
21950.000763 7.080447 -5.422806
21940.000534 7.176081 -5.072704
21930.000305 7.353858 -5.336712
21920.000076 7.260314 -5.291446
21909.999847 7.352879 -5.304276
21899.999619 7.339853 -5.345119
21889.999390 7.124676 -5.308343
21879.999161 7.024773 -5.344424
21870.000839 7.277022 -5.197567
21860.000610 7.411567 -5.224677
21850.000381 7.385281 -5.312687
21840.000153 7.183907 -5.267630
21829.999924 7.191162 -5.249920
21819.999695 7.341520 -5.192738
21809.999466 7.409233 -5.439236
21799.999237 7.394175 -5.200079
21790.000916 7.287917 -5.384977
21780.000687 7.324247 -5.374950
21770.000458 7.406275 -5.549541
21760.000229 7.370806 -5.237055
21750.000000 7.382898 -5.315694
21739.999771 7.305958 -5.469941
21729.999542 7.166192 -5.247091
21719.999313 7.366793 -5.494395
21709.999084 7.095984 -5.355350
21700.000763 7.166309 -5.300225
21690.000534 7.372129 -5.328799
21680.000305 7.339552 -5.482772
21670.000076 7.305975 -5.427631
21659.999847 7.358942 -5.296142
21649.999619 7.254030 -5.355439
21639.999390 7.141981 -5.378234
21629.999161 7.409567 -5.270806
21620.000839 7.167340 -5.260105
21610.000610 7.236467 -5.250548
21600.000381 7.294940 -5.285707
21590.000153 7.338200 -5.348417
21579.999924 7.464688 -5.270200
21569.999695 7.230275 -5.330842
21559.999466 7.398149 -5.309601
21549.999237 7.418902 -5.259971
21540.000916 7.411909 -5.154732
21530.000687 7.499787 -5.378412
21520.000458 7.252991 -5.306115
21510.000229 7.203171 -5.225612
21500.000000 7.241172 -5.400146
21489.999771 7.477838 -5.301656
21479.999542 7.260208 -5.307453
21469.999313 7.279654 -5.333128
21459.999084 7.302080 -5.249928
21450.000763 7.387716 -5.244934
21440.000534 7.560230 -5.229347
21430.000305 7.372666 -5.165433
21420.000076 7.192590 -5.291261
21409.999847 7.316884 -5.296800
21399.999619 7.314383 -5.312425
21389.999390 7.356206 -5.316124
21379.999161 7.495959 -5.380046
21370.000839 7.417116 -5.229853
21360.000610 7.388094 -5.211848
21350.000381 7.204484 -5.234140
21340.000153 7.317593 -5.291092
21329.999924 7.254343 -5.259654
21319.999695 7.281847 -5.183100
21309.999466 7.332961 -5.352632
21299.999237 7.214478 -5.184098
21290.000916 7.339398 -5.210116
21280.000687 7.225451 -5.337490
21270.000458 7.272946 -5.390243
21260.000229 7.203576 -5.267938
21250.000000 7.320164 -5.326873
21239.999771 7.206006 -5.294712
21229.999542 7.441554 -5.193900
21219.999313 7.268184 -5.493690
21209.999084 7.195251 -5.411799
21200.000763 7.508144 -5.231705
21190.000534 7.448223 -5.458391
21180.000305 7.221964 -5.314823
21170.000076 7.310580 -5.262483
21159.999847 7.320512 -5.213793
21149.999619 7.152193 -5.270497
21139.999390 7.153285 -5.323608
21129.999161 7.165183 -5.292724
21120.000839 7.281379 -5.224288
21110.000610 7.457120 -5.285916
21100.000381 7.431014 -5.379979
21090.000153 7.261527 -5.405276
21079.999924 7.269449 -5.364009
21069.999695 7.366796 -5.178532
21059.999466 7.380566 -5.314704
21049.999237 7.241577 -5.442739
21040.000916 7.175011 -5.452467
21030.000687 7.309948 -5.339426
21020.000458 7.279735 -5.378752
21010.000229 7.448844 -5.342919
21000.000000 7.412743 -5.274702
20989.999771 7.417795 -5.302070
20979.999542 7.478455 -5.333499
20969.999313 7.415453 -5.270414
20959.999084 7.415333 -5.140699
20950.000763 7.357573 -5.284827
20940.000534 7.251690 -5.320825
20930.000305 7.356646 -5.207823
20920.000076 7.267999 -5.284777
20909.999847 7.191407 -5.369995
20899.999619 7.177778 -5.425593
20889.999390 7.339519 -5.269693
20879.999161 7.187254 -5.325257
20870.000839 7.260106 -5.144284
20860.000610 7.268229 -5.261615
20850.000381 7.094046 -5.412028
20840.000153 7.182037 -5.482411
20829.999924 7.232974 -5.338535
20819.999695 7.131812 -5.438136
20809.999466 7.339562 -5.531199
20799.999237 6.936875 -5.321916
20790.000916 6.863604 -5.310577
20780.000687 7.206230 -5.430661
20770.000458 7.326652 -5.551715
20760.000229 7.213467 -5.389593
20750.000000 7.385852 -5.220139
20739.999771 7.214366 -5.341587
20729.999542 7.111336 -5.262206
20719.999313 7.322360 -5.264683
20709.999084 7.013193 -5.350617
20700.000763 7.121124 -5.403848
20690.000534 7.236924 -5.515740
20680.000305 7.254029 -5.272136
20670.000076 7.337111 -5.417976
20659.999847 7.087801 -5.261542
20649.999619 7.222070 -5.319001
20639.999390 6.875214 -5.350007
20629.999161 7.146944 -5.318695
20620.000839 7.088328 -5.285881
20610.000610 7.137358 -5.418553
20600.000381 7.134736 -5.352153
20590.000153 7.140011 -5.370249
20579.999924 7.155848 -5.404017
20569.999695 7.100152 -5.308834
20559.999466 7.267403 -5.348286
20549.999237 7.223621 -5.633915
20540.000916 7.277223 -5.475495
20530.000687 7.296180 -5.276455
20520.000458 7.003911 -5.308452
20510.000229 7.138521 -5.419123
20500.000000 7.137871 -5.249767
20489.999771 6.977587 -5.325271
20479.999542 7.044676 -5.349145
20469.999313 7.092782 -5.393881
20459.999084 7.231916 -5.205935
20450.000763 7.176866 -5.258968
20440.000534 7.125585 -5.339242
20430.000305 7.126494 -5.335058
20420.000076 7.055949 -5.432046
20409.999847 7.111085 -5.331439
20399.999619 7.013848 -5.400823
20389.999390 7.028678 -5.499704
20379.999161 7.014631 -5.254024
20370.000839 7.083391 -5.252121
20360.000610 7.184204 -5.123868
20350.000381 7.161075 -5.283831
20340.000153 7.102826 -5.440962
20329.999924 7.236817 -5.326718
20319.999695 7.031600 -5.305780
20309.999466 7.195079 -5.277820
20299.999237 7.093249 -5.410821
20290.000916 7.038266 -5.279034
20280.000687 7.047951 -5.426709
20270.000458 7.025597 -5.554146
20260.000229 6.720752 -5.305733
20250.000000 6.825030 -5.349339
20239.999771 7.007435 -5.388880
20229.999542 7.175375 -5.376375
20219.999313 7.289139 -5.226293
20209.999084 7.158655 -5.301589
20200.000763 7.165428 -5.351923
20190.000534 7.183327 -5.302564
20180.000305 7.232568 -5.233073
20170.000076 7.178835 -5.532567
20159.999847 7.124536 -5.440273
20149.999619 7.060013 -5.432294
20139.999390 7.181449 -5.402024
20129.999161 7.042244 -5.312562
20120.000839 6.928722 -5.398831
20110.000610 7.025869 -5.397401
20100.000381 7.298421 -5.481530
20090.000153 7.234162 -5.412366
20079.999924 7.514014 -5.379942
20069.999695 7.143517 -5.359332
20059.999466 7.008751 -5.350094
20049.999237 7.130013 -5.233061
20040.000916 7.185646 -5.314405
20030.000687 7.303273 -5.504589
20020.000458 7.213578 -5.430907
20010.000229 6.943516 -5.328055
20000.000000 7.227152 -5.357288
19989.999771 7.248938 -5.461612
19979.999542 7.217380 -5.369251
19969.999313 7.177501 -5.215556
19959.999084 7.207910 -5.261564
19950.000763 7.234133 -5.306188
19940.000534 7.362936 -5.388516
19930.000305 7.389543 -5.176063
19920.000076 7.140410 -5.269459
19909.999847 7.203906 -5.255339
19899.999619 7.446084 -5.206228
19889.999390 7.467053 -5.397796
19880.001068 7.226859 -5.312759
19870.000839 7.293639 -5.229707
19860.000610 7.194933 -5.161461
19850.000381 7.256558 -5.286820
19840.000153 7.140521 -5.289424
19829.999924 7.386211 -5.269579
19819.999695 7.221244 -5.152477
19809.999466 7.278130 -5.265759
19799.999237 7.524161 -5.354260
19790.000916 7.341384 -5.344053
19780.000687 7.365595 -5.242000
19770.000458 7.274394 -5.444984
19760.000229 7.221622 -5.151933
19750.000000 7.305549 -5.373146
19739.999771 7.518289 -5.467130
19729.999542 7.479406 -5.338728
